,名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
29,张亮麻辣烫(武生西区店),1743,2.0,10,麻辣烫,4.3,32,1278,797,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场7栋一层27.29号
30,客卤汁卤肉拌饭(武生店),113,2.0,8,煲仔饭,3.9,37,2,898,武汉市新洲区阳逻街桥头
31,茶多芬奶咖（武生店）,53,1.0,10,奶茶果汁,5.0,37,4,784,武汉市新洲区阳逻街武汉生物工程学院商业街西区35号
32,茶多芬奶咖（武生店）,53,1.0,10,奶茶果汁,5.0,37,4,784,武汉市新洲区阳逻街武汉生物工程学院商业街西区35号
33,老北京卤肉卷(武生店),168,1.0,0,地方小吃,4.8,36,48,415,武汉市新洲区阳逻街阳光大道时代广场一层27号
34,疯狂鸡排(武生店),2465,1.0,13,汉堡,4.7,34,223,917,武汉市新洲区阳逻街汉施路特1号武生院西区商业街5号
35,光头强铁板饭(武生店),126,0.0,0,简餐,4.4,35,18,889,武汉市新洲区阳逻街桥头村五组456号
36,点滴浆坊(武生东街店),69,2.0,10,奶茶果汁,4.8,37,0,516,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街生苑超市一楼第三间
37,福莱德汉堡（武生店）,150,2.0,10,汉堡,4.7,36,0,878,武汉市新洲区阳逻街桥头村长河西路4-17号
38,味美思滋补汤(武生院店),116,1.0,0,地方小吃,4.4,37,0,896,武汉市新洲区阳逻街桥头村451号
39,小四川家常菜(武生店),241,0.0,10,川湘菜,4.3,32,3,796,武汉市新洲区阳逻街汉施路特1号武生院商业街C158号
40,吾饮良品(武生店),19,1.0,8,奶茶果汁,5.0,37,6,454,武汉市新洲区阳逻街汉施路1号武生院东区商业街A116号
41,吾饮良品(武生店),19,1.0,8,奶茶果汁,5.0,37,6,454,武汉市新洲区阳逻街汉施路1号武生院东区商业街A116号
42,鲨鱼吃面(武生店),356,1.0,0,简餐,4.5,37,69,869,武汉市新洲区阳逻街汉施路1号武生院西区商业街13-A号
43,时光若刻,61,1.0,12,奶茶果汁,4.8,37,3,423,武汉市新洲区阳逻街汉施路1号武生院商业街东区A201号
44,西区天天鲜蛋糕店,41,0.0,10,面包,4.5,36,2,906,武汉市新洲区阳逻街武生院北十商业街7号
45,巴西烤肉饭（武生店）,73,0.0,10,地方小吃,4.7,37,4,1005,武汉市新洲区阳逻街桥头村五组
46,筷易点(武生店),165,0.0,10,盖浇饭,4.2,37,6,791,武汉市新洲区阳逻街桥头村三组403号
47,霄張花甲(武生店),776,2.0,10,简餐,4.5,37,57,875,武汉市新洲区阳逻街武生院内
48,阿甘超市(武生店),152,1.0,5,大型超市,4.5,36,0,1,武汉市新洲区阳逻街山河新村98号
49,22号湘菜馆（武生店）,33,1.0,10,盖浇饭,4.0,34,0,701,武汉市新洲区阳逻街武汉生物工程学院商业街西区22号
50,22号湘菜馆（武生店）,33,1.0,10,盖浇饭,4.0,34,0,701,武汉市新洲区阳逻街武汉生物工程学院商业街西区22号
51,九月,220,1.0,15,汉堡,4.9,36,8,1,武汉市新洲区阳逻街汉施路1号武生院东区商业街A219号
52,山东黄焖鸡米饭,208,1.5,10,黄焖鸡米饭,3.9,37,17,923,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋29号
53,有家小馆（武生店）,1661,0.0,10,简餐,4.3,37,79,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋22号
54,亚米亚米(武生店),135,2.0,10,披萨意面,4.3,37,13,675,武汉市新洲区阳逻街汉施路特1号武生院商业街东区B209号
55,水晶泡泡锅（武生店）,619,0.0,10,香锅砂锅,4.4,37,0,706,武汉市新洲区阳逻街汉施路特1号武生院西区商业街12-B
56,品好味爱情麻辣烫南京鸭血粉丝汤(武生店),365,1.0,13,米粉面馆,4.1,37,139,1005,武汉市新洲区阳逻街桥头村五组466号
